Date,Open,High,Low,Close,Volume,Adjusted Close
2014-12-30,3459.68,3459.68,3459.68,3459.68,0.0,3459.68
2014-12-29,3455.46,3455.46,3455.46,3455.46,0.0,3455.46
2014-12-26,3445.84,3445.84,3445.84,3445.84,0.0,3445.84
2014-12-25,3335.42,3335.42,3335.42,3335.42,0.0,3335.42
2014-12-24,3230.39,3230.39,3230.39,3230.39,0.0,3230.39
2014-12-23,3324.92,3324.92,3324.92,3324.92,0.0,3324.92
2014-12-22,3394.48,3394.48,3394.48,3394.48,0.0,3394.48
2014-12-19,3383.17,3383.17,3383.17,3383.17,0.0,3383.17
2014-12-18,3345.93,3345.93,3345.93,3345.93,0.0,3345.93
2014-12-17,3360.6,3360.6,3360.6,3360.6,0.0,3360.6
2014-12-16,3303.4,3303.4,3303.4,3303.4,0.0,3303.4
2014-12-15,3217.23,3217.23,3217.23,3217.23,0.0,3217.23
2014-12-12,3193.23,3193.23,3193.23,3193.23,0.0,3193.23
2014-12-11,3183.01,3183.01,3183.01,3183.01,0.0,3183.01
2014-12-10,3221.55,3221.55,3221.55,3221.55,0.0,3221.55
2014-12-09,3106.91,3106.91,3106.91,3106.91,0.0,3106.91
2014-12-08,3252.88,3252.88,3252.88,3252.88,0.0,3252.88
2014-12-05,3124.89,3124.89,3124.89,3124.89,0.0,3124.89
2014-12-04,3104.35,3104.35,3104.35,3104.35,0.0,3104.35
2014-12-03,2967.55,2967.55,2967.55,2967.55,0.0,2967.55
2014-12-02,2923.94,2923.94,2923.94,2923.94,0.0,2923.94
2014-12-01,2819.81,2819.81,2819.81,2819.81,0.0,2819.81
2014-11-28,2808.82,2808.82,2808.82,2808.82,0.0,2808.82
2014-11-27,2754.49,2754.49,2754.49,2754.49,0.0,2754.49
2014-11-26,2723.02,2723.02,2723.02,2723.02,0.0,2723.02
2014-11-25,2685.56,2685.56,2685.56,2685.56,0.0,2685.56
2014-11-24,2649.26,2649.26,2649.26,2649.26,0.0,2649.26
2014-11-21,2583.46,2583.46,2583.46,2583.46,0.0,2583.46
2014-11-20,2537.1,2537.1,2537.1,2537.1,0.0,2537.1
2014-11-19,2537.22,2537.22,2537.22,2537.22,0.0,2537.22
2014-11-18,2541.42,2541.42,2541.42,2541.42,0.0,2541.42
2014-11-17,2567.1,2567.1,2567.1,2567.1,0.0,2567.1
2014-11-14,2581.09,2581.09,2581.09,2581.09,0.0,2581.09
2014-11-13,2579.75,2579.75,2579.75,2579.75,0.0,2579.75
2014-11-12,2594.32,2594.32,2594.32,2594.32,0.0,2594.32
2014-11-11,2558.61,2558.61,2558.61,2558.61,0.0,2558.61
2014-11-10,2565.73,2565.73,2565.73,2565.73,0.0,2565.73
2014-11-07,2502.15,2502.15,2502.15,2502.15,0.0,2502.15
2014-11-06,2506.07,2506.07,2506.07,2506.07,0.0,2506.07
