Country Name,Country Code,Series Name,Series Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Niger,NER,Battle-related deaths (number of people),VC.BTL.DETH,0,0,40,29,0,50,34,0,62,0,0,0,0,0,0,4,0,0,81,47,0,8,6,0,31,0,0
Nigeria,NGA,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,128,0,0,0,0,405,0,324,812,1629,3793,0
North America,NAC,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,PAK,Battle-related deaths (number of people),VC.BTL.DETH,12,82,10,6,0,38,52,54,27,12,442,12,32,25,138,305,66,372,759,3470,6837,5995,2857,3014,1802,3140,0
Panama,PAN,Battle-related deaths (number of people),VC.BTL.DETH,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,PNG,Battle-related deaths (number of people),VC.BTL.DETH,25,55,0,33,34,26,29,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,Battle-related deaths (number of people),VC.BTL.DETH,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,PER,Battle-related deaths (number of people),VC.BTL.DETH,1735,1047,1277,984,603,224,259,80,92,25,75,0,0,0,0,0,0,0,32,56,50,28,0,0,0,0,0
Philippines,PHL,Battle-related deaths (number of people),VC.BTL.DETH,937,1306,1515,430,253,265,152,180,302,93,199,1567,749,662,1056,339,470,360,439,481,894,332,350,295,514,470,0
Romania,ROM,Battle-related deaths (number of people),VC.BTL.DETH,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,RUS,Battle-related deaths (number of people),VC.BTL.DETH,0,181,220,0,145,229,1754,2721,0,0,5832,2907,784,753,480,1151,668,259,176,404,696,418,359,516,321,168,0
Rwanda,RWA,Battle-related deaths (number of people),VC.BTL.DETH,0,1126,153,87,353,1054,0,60,535,1095,0,0,2044,59,0,0,0,0,0,0,0,0,0,13,1,0,0
Saudi Arabia,SAU,Battle-related deaths (number of people),VC.BTL.DETH,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,58,31,11,2,0,0,0,0,0,0,0,0
Senegal,SEN,Battle-related deaths (number of people),VC.BTL.DETH,0,58,0,76,233,0,299,0,319,242,0,47,33,0,39,0,0,0,0,0,0,0,25,0,0,0,0
Serbia,SRB,Battle-related deaths (number of people),VC.BTL.DETH,0,0,3997,0,0,0,0,0,0,1235,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,SLE,Battle-related deaths (number of people),VC.BTL.DETH,0,0,552,218,410,628,1472,570,747,2901,2644,382,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,SLB,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,SOM,Battle-related deaths (number of people),VC.BTL.DETH,373,2650,8005,1154,25,237,104,440,0,0,0,0,228,114,0,0,0,547,1587,1499,1476,2151,1937,2600,896,1103,0
